t,demand,u_g1,p_g1,u_g2,p_g2,u_g3,p_g3,u_g4,p_g4,u_g5,p_g5,u_g6,p_g6,u_g7,p_g7
0,590.28,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,175.681
1,567.078,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,152.479
2,551.618,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,137.019
3,542.49,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,127.891
4,548.313,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,133.715
5,559.66,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,145.061
6,591.435,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,176.836
7,614.614,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,200.015
8,628.017,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,213.418
9,643.015,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,228.416
10,637.376,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,222.778
11,640.358,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,225.759
12,620.044,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,205.446
13,614.752,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,200.154
14,612.095,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,197.496
15,622.194,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,207.595
16,675.299,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,260.7
17,738.295,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,323.696
18,720.223,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,305.624
19,732.332,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,317.734
20,731.154,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,316.555
21,697.391,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,282.792
22,660.879,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,246.28
23,617.087,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,202.488
24,587.252,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,172.654
25,565.322,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,150.723
26,539.925,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,125.326
27,547.042,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,132.444
28,552.727,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,138.128
29,587.645,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,173.047
30,628.734,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,214.135
31,653.299,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,238.7
32,672.826,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,258.227
33,701.713,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,287.114
34,705.133,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,290.534
35,694.664,0,0,1,91.8259,1,132.064,1,95.6343,0,0,1,95.0748,1,280.065
